Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20221073,Murray,Greater Hume,Inner Regional Australia,National or State Highway
20226019,Hobart,Kingborough,Inner Regional Australia,Collector Road
20222236,Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road
20221153,Sydney - Sutherland,Sutherland,Inner Regional Australia,National or State Highway
20222089,Melbourne - North East,Whittlesea,Major Cities of Australia,Local Road
20222067,Melbourne - South East,Cardinia,Inner Regional Australia,Arterial Road
20223102,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20223032,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20223037,Brisbane - East,Redland,Major Cities of Australia,Local Road
20223177,Central Queensland,Gladstone,Inner Regional Australia,National or State Highway
20221071,Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
20223143,Cairns,Cassowary Coast,Outer Regional Australia,National or State Highway
20227016,Northern Territory - Outback,Coomalie ,Remote Australia,National or State Highway
20221151,Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
20223234,Cairns,Cairns,Outer Regional Australia,National or State Highway
20222221,Melbourne - South East,Monash,Major Cities of Australia,National or State Highway
20222133,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20221006,Sydney - Inner West,Inner West,Major Cities of Australia,National or State Highway
20223038,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Collector Road
20223095,Central Queensland,Rockhampton,Inner Regional Australia,Sub-arterial Road
20223254,Cairns,Cairns,Outer Regional Australia,Sub-arterial Road
20226004,Hobart,Clarence,Inner Regional Australia,Collector Road
20223085,Darling Downs - Maranoa,Maranoa,Very Remote Australia,Local Road
20222008,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Arterial Road
20224040,South Australia - South East,Grant,Outer Regional Australia,Arterial Road
20222143,Melbourne - Inner,Merri-bek,Major Cities of Australia,Arterial Road
20222123,Melbourne - West,Hobsons Bay,Major Cities of Australia,National or State Highway
20222132,Latrobe - Gippsland,Wellington,Inner Regional Australia,Local Road
20223120,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
20223103,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
20221129,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Local Road
20222064,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,National or State Highway
20222054,Bendigo,Loddon,Outer Regional Australia,Arterial Road
20221120,Far West and Orana,Walgett,Remote Australia,Arterial Road
20222011,Melbourne - West,Maribyrnong,Major Cities of Australia,Arterial Road
20221213,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,National or State Highway
20226003,Launceston and North East,Launceston,Inner Regional Australia,National or State Highway
20223157,Cairns,Tablelands,Outer Regional Australia,Sub-arterial Road
20222033,Latrobe - Gippsland,Wellington,Inner Regional Australia,National or State Highway
20221070,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Arterial Road
20223082,Logan - Beaudesert,Logan,Major Cities of Australia,National or State Highway
20223105,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20222091,Melbourne - North East,Whittlesea,Major Cities of Australia,Local Road
20221122,Central Coast,Central Coast (NSW),Inner Regional Australia,National or State Highway
20221219,Riverina,Coolamon,Outer Regional Australia,Arterial Road
20227022,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20222141,Melbourne - Inner,Port Phillip,Major Cities of Australia,Local Road
20222187,Melbourne - South East,Cardinia,Major Cities of Australia,Local Road
20226030,Launceston and North East,West Tamar,Outer Regional Australia,Collector Road
20223247,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20223259,Ipswich,Ipswich,Major Cities of Australia,National or State Highway
20223204,Wide Bay,Gympie,Inner Regional Australia,Local Road
20221053,Illawarra,Wollongong,Major Cities of Australia,Arterial Road
20222124,Melbourne - South East,Greater Dandenong,Major Cities of Australia,National or State Highway
20227021,Northern Territory - Outback,MacDonnell,Very Remote Australia,Sub-arterial Road
20223178,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia,Local Road
20223026,Cairns,Cassowary Coast,Outer Regional Australia,Collector Road
20222112,Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road
20224067,Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
20223080,Queensland - Outback,Bulloo,Very Remote Australia,Sub-arterial Road
20227013,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20221209,Coffs Harbour - Grafton,Bellingen,Outer Regional Australia,Arterial Road
20221123,Murray,Greater Hume,Outer Regional Australia,Arterial Road
20221043,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,National or State Highway
20222156,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20221258,Sydney - Inner West,Inner West,Major Cities of Australia,Arterial Road
20223013,Central Queensland,Central Highlands (Qld),Remote Australia,Sub-arterial Road
20228008,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Access road
20222209,Melbourne - West,Wyndham,Major Cities of Australia,Local Road
20222059,Warrnambool and South West,Corangamite,Inner Regional Australia,Local Road
20224068,South Australia - South East,Tatiara,Outer Regional Australia,Local Road
20224024,Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
20221257,Central Coast,Central Coast (NSW),Inner Regional Australia,Arterial Road
20221058,Capital Region,Goulburn Mulwaree,Inner Regional Australia,National or State Highway
20223049,Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway
20227029,Northern Territory - Outback,Central Desert,Very Remote Australia,Access road
20222149,Ballarat,Hepburn,Inner Regional Australia,Arterial Road
20222094,Latrobe - Gippsland,Baw Baw,Inner Regional Australia,Arterial Road
20222035,Melbourne - West,Brimbank,Major Cities of Australia,Collector Road
20222226,Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
20223172,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20222128,Melbourne - North West,Hume,Major Cities of Australia,National or State Highway
20222218,Geelong,Golden Plains,Inner Regional Australia,Sub-arterial Road
20222060,Melbourne - South East,Cardinia,Major Cities of Australia,Local Road
20223011,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Sub-arterial Road
20223014,Brisbane Inner City,Brisbane,Major Cities of Australia,National or State Highway
20221177,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,National or State Highway
20221004,Central West,Lithgow,Inner Regional Australia,National or State Highway
20223033,Logan - Beaudesert,Logan,Inner Regional Australia,Sub-arterial Road
20221059,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Local Road
20223216,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
20224020,South Australia - South East,Grant,Outer Regional Australia,Arterial Road
20222001,Melbourne - West,Brimbank,Major Cities of Australia,Arterial Road
20222018,Geelong,Greater Geelong,Major Cities of Australia,National or State Highway
20223193,Brisbane - West,Brisbane,Major Cities of Australia,Sub-arterial Road
20222077,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,National or State Highway
20223156,Central Queensland,Livingstone,Remote Australia,National or State Highway
20221039,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Arterial Road
20221003,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,Collector Road
20223262,Central Queensland,Gladstone,Outer Regional Australia,National or State Highway
20226037,West and North West,Latrobe (Tas.),Outer Regional Australia,National or State Highway
20227014,Darwin,Litchfield,Outer Regional Australia,National or State Highway
20224035,South Australia - Outback,Unincorporated SA,Very Remote Australia,Sub-arterial Road
20222229,Melbourne - West,Brimbank,Major Cities of Australia,Collector Road
20223063,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20221030,New England and North West,Walcha,Outer Regional Australia,Local Road
20222092,Hume,Murrindindi,Inner Regional Australia,Arterial Road
20223212,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20221085,New England and North West,Narrabri,Outer Regional Australia,Sub-arterial Road
20223179,Wide Bay,Gympie,Inner Regional Australia,Collector Road
20223242,Townsville,Townsville,Outer Regional Australia,National or State Highway
20223136,Brisbane Inner City,Brisbane,Major Cities of Australia,Sub-arterial Road
20227039,Northern Territory - Outback,MacDonnell,Very Remote Australia,National or State Highway
20222115,North West,Northern Grampians,Inner Regional Australia,National or State Highway
20221091,Sydney - Blacktown,Blacktown,Major Cities of Australia,Arterial Road
20226043,Launceston and North East,Northern Midlands,Outer Regional Australia,Arterial Road
20223087,Mackay - Isaac - Whitsunday,Isaac,Remote Australia,National or State Highway
20223048,Central Queensland,Livingstone,Inner Regional Australia,Sub-arterial Road
20223155,Wide Bay,Gympie,Outer Regional Australia,National or State Highway
20228013,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20223057,Wide Bay,Fraser Coast,Inner Regional Australia,Collector Road
20226002,Launceston and North East,Launceston,Inner Regional Australia,Local Road
20223119,Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road
20222158,North West,Northern Grampians,Outer Regional Australia,Arterial Road
20222043,Hume,Mitchell,Inner Regional Australia,National or State Highway
20221171,Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,National or State Highway
20226021,West and North West,Latrobe (Tas.),Outer Regional Australia,Sub-arterial Road
20221155,Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Arterial Road
20222055,Hume,Mitchell,Inner Regional Australia,Arterial Road
20223096,Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
20223270,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20221028,Far West and Orana,Bogan,Very Remote Australia,National or State Highway
20227011,Darwin,Litchfield,Outer Regional Australia,National or State Highway
20223261,Brisbane - South,Brisbane,Major Cities of Australia,Access road
20228014,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20223183,Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
20224009,Adelaide - South,Onkaparinga,Major Cities of Australia,Sub-arterial Road
20222075,Melbourne - West,Melton,Major Cities of Australia,National or State Highway
20223185,Queensland - Outback,Cloncurry,Very Remote Australia,Local Road
20223054,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20223269,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Local Road
20221178,Murray,Greater Hume,Inner Regional Australia,Sub-arterial Road
20222202,Latrobe - Gippsland,Wellington,Inner Regional Australia,Sub-arterial Road
20228015,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20223168,Townsville,Townsville,Outer Regional Australia,Sub-arterial Road
20221065,Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway
20223110,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20223088,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
20223043,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Local Road
20223197,Ipswich,Ipswich,Major Cities of Australia,Collector Road
20223236,Ipswich,Ipswich,Major Cities of Australia,National or State Highway
20221227,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia,Collector Road
20221100,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Arterial Road
20223134,Wide Bay,Fraser Coast,Inner Regional Australia,Local Road
20224028,Adelaide - Central and Hills,Campbelltown (SA),Major Cities of Australia,Sub-arterial Road
20221221,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Sub-arterial Road
20221090,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Sub-arterial Road
20222009,Latrobe - Gippsland,South Gippsland,Outer Regional Australia,Sub-arterial Road
20223006,Moreton Bay - South,Moreton Bay,Inner Regional Australia,Local Road
20223235,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20221050,Mid North Coast,Mid-Coast,Outer Regional Australia,Arterial Road
20223273,Ipswich,Scenic Rim,Inner Regional Australia,National or State Highway
20223190,Ipswich,Brisbane,Major Cities of Australia,Collector Road
20223243,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20222078,Warrnambool and South West,Colac Otway,Inner Regional Australia,Access road
20221263,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20223237,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,National or State Highway
20226020,Launceston and North East,West Tamar,Inner Regional Australia,National or State Highway
20221211,Illawarra,Wollondilly,Inner Regional Australia,Arterial Road
20222074,Melbourne - West,Brimbank,Major Cities of Australia,Local Road
20226012,Hobart,Glenorchy,Inner Regional Australia,Arterial Road
20221222,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
20228005,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20222096,Hume,Strathbogie,Inner Regional Australia,National or State Highway
20223224,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
